,all_full
77,"i'm pretty sure all the questions below this one summarize me better then i can. here goes nothing. i am a semi-typical 20-something. just finishing up college and wondering what comes next. looking forward to life outside of school with determination but also trepidation. i would love nothing more than to move back to sf, where i stayed for three years when i started college (2005). i like to just walk. i mean that, just walk wherever in no particular direction with no destination in mind and i'll do it until my feet have blisters the size of quarters. i try not to make a habit of anything. i am learning to play guitar. trying to build up the confidence to record my singing. i work at the craft center on campus at ucd, sometimes. i love to craft. i know how to make glass beads and pendants, i can screen print a t-shirt, sculpt with clay, paint, and draw. i have intentions of learning alot of things, including but not limited to: sewing my own clothes, welding and blacksmithing, fire dancing, how to walk on stilts, aerial silks, and ballroom dancing. i like to work on my car. it's a 1995 bmw and is in constant need of tinkering. she's my baby.  i am affectionate, fun-loving, and happy
i'm am graduating from college at ucdavis as an anthropology major. working on becoming an archaeologist! i like to dig in the dirt and find bones. other than that, i spend alot of time on my car, and on my craft projects. this fall i am going to spend more time at my friends circus and learn awesome new things, and may be working at renn faire! which would be exciting, seeing as i spend all possible weekends there anyway if i can. i also like to hang around with my friends, tho alot of them are in sf now and i can't see them that often. life is good. i'm making the most of it!
drawing, painting, creating found art pieces....umm, writing, singing, playing around. i like to make things. i like to do things. i'm interesting in learning how to do almost anything. suggest something, you never know. i might try it.
my hair, since its long and blond and wavy-like. also my eyes which are a nice green. sometimes my sense of style, depending on the day. my smile. i smile alot.
books: abarat, sabriel trilogy, wheel of time. anything by neil gaiman, jane austen, diana wynne jones, robert hienlien, clive barker, and patricia briggs. i like to read. alot. i'm not going to keep listing or this cold go on all day.  movies: pride & prejudice, serenity (firefly), benny & joon, the breakfast club, marie antoinette, paprika, howl's moving castle, spirited away, snatch, the boondock saints, zerophilia, the princess bride... as i think of more i will expand on this.  music: the decemberists, tegan & sara, moby, muse, yeah yeah yeah's, iron & wine, garbage, nine inch nails, nirvana, hole, flogging molly, amanda palmer (dresdendolls, evelynevelyn), pink floyd, the beatles, ok go, placebo, red hot chilipeppers... and more.  food is one of my most favoritest things ever! :) feed me, whatever it is i will try it once. unless it's mushrooms... also i don't usually eat meat, but im not a vege.
my music, my hands (is that two??), sunshine, someone to love, a good book, and a good friend.
music and books. also i think alot about what to do with my life, or how to make things in my life work out right. i think about having kids, though not right now. i think about what it would be like to fly an airplane, i've been in plenty and i've even helped my dad fly, but i've never been in the pilots seat. i have thought about getting a fish, or a chameleon. i think about what it will be like when i finally figure out what this is all about.
at a concert or the movies, or sitting in front of the computer, occasionally i'm in a car driving 100 mph with friends and stealing mcdonald's garbage can lids just to move them into phone booths! :) generally wreaking havoc.
that i spend way too much time on the internet. i take 40 minute showers sometimes. i'm a nerd. it's hard for me to fall out of love. i need people.
if you're interested in talking to me. but not if you are going to ask me about my breasts, or about your penis, or if you are going to solicit me for sex. i won't do you. especially not if you ask me on the internet. be a gentleman/lady."
78,"i'm saucy. i'm unpredictable. i'm a force of nature. i love to laugh, explore, learn, and challenge my own world view.
i am enjoying life in the city and the adventures it has to offer. i look for opportunities to travel, meet new people, and try new things. by day, i work to live (rather than live to work) and have an amazing job that i love.
livening up a tedious work meeting, dancing with strangers at weddings, making truffle mac n' cheese, coming up with good halloween costume ideas in the off-season, entertaining small children for short periods of time...
i'm always comfortable, even walking into a place where i don't know anyone, or stepping off a plane in a foreign country. i will talk to anyone. in fact, i enjoy starting conversations with strangers. i find that the most interesting folks are never the ones you would have guessed were interesting at all.
books: atlas shrugged, catch-22, 1984, to kill a mockingbird, never let me go, brave new world, anything by bill bryson, a prayer for owen meany, devil in the white city, thunderstruck, pillars of the earth, ender's game, stranger in a strange land, the road, the hunger games  movies: the american president, dirty rotten scoundrels, memento, wedding crashers, gladiator, maria full of grace, the shawshank redemption, fight club, empire of the sun, silence of the lambs, se7en, the usual suspects, lock stock and two smoking barrels, good will hunting, the last emperor, the goonies  shows: arrested development, top chef, happy endings, modern family, 30 rock, himym, project runway, homeland, deadliest catch, weeds, downton abbey, house, most british comedies
humor a comfortable bed affection books my family sour candy
how much i like stumbling upon amazing places like the brooklyn art library (http://www.arthousecoop.com/brooklynartlibrary), my love-hate relationship with the muni, my quest to find great pizza in sf, and my goal to see more artsy films...
trying out a new restaurant with friends, exploring a new part of the city, or taking it easy at home.
i am willing to admit anything... what do you want to know?
you want to... come on... don't be shy ;-)"
82,"i moved to sf ~7 months ago, and so far i'm really liking it, but i'm looking to grow my circle of friends and hitting it off with a cute girl along the way is even better.  my latest interest is rock climbing. i've been going 3x/week to planet granite and having a blast. so perhaps a good way to meet if you als climb is just to be tr belay partners.  i'm originally from the chicago area, which is still where my very small family lives, but for the last 8 years enjoying the beaches, mountains and deserts in san diego.  i'm an adventurer by heart, and always seeking something out of the ordinary, to challenge me, to spark my imagination, or simply surprise me when i'm least expecting it. my ideal girl would do the same.  i've traveled to many places in the world, but there's still a ton left for me to see, and a major goal is to find a girl that shares this travel bug with me. at some point in the next few years, i'd love to quit my job to travel for ~1yr with a girl i love, and then return to the normal us life/career, with both our lives enriched.
isn't this the million dollar question... work in a profession that i enjoy travel the world when i take leave from work keep in shape doing something outside during the weekends relax with a book, hang with friends or something misc the rest of the time
solving problems, whatever life throws at me, such as navigating and choosing the right path when there's a split in the road, or simply making a new path when neither is good  humming along to songs, since i can't remember lyrics and i'm somewhat tone deaf
my blue eyes, and that i look rather young for my age (sometimes people think i'm in my mid-20s), hence why i set my match's upper age bound to my age, since experience says that girls look someone older.  easy to start a conversation with, and enjoys a playful debate, but occasionally gets tongue twisted
adventure and scifi books thrillers and comedy movies indie concerts and comedic plays italian and thai cuisine
my passport a playful pet comfortable bed good music good book orange juice
where i'm traveling to next, and where do i find a great girl to take with me
i typically don't like ""typical"" nights... i'll browse various show and event calendars for some sort of interesting thing to check out with friends or a date... and occasionally after an exhausting week will just relax and wake up early the next day to go on a hike
i'm actually very open about things that perhaps some would be not willing to quickly admit, but i don't feel that sharing private things to (as of yet) complete strangers is the way to do it.
if you love hiking/camping, traveling in 3rd-world countries, local family-run restaurants, coffee shops, bars with live music and good micro-brewed drafts, outdoor activities (snowboard/ski/kayak/sports/run), etc. then definitely write and say hi!  you live within 30mins assuming traffic, as i'd prefer to get into a relationship where its not a burden to see each other on weekdays.  btw, i own some nice stuff, yet don't consider myself materialistic, and i've learned that girls that always want to be pampered, be seen at the new trendy club, or expects to be taken to 5-star restaurants or hotels, doesn't match my down to earth lifestyle. however, i'll definitely treat you like a princess as well, as long as you don't take it for granted. also, bonus points for curly hair, but i don't discriminate ;)"
83,"i love many things, laughing however is at the top of that list. i'm kind of a goofball, but in a subtle ways for the most part. dry humour, sarcasm. i guess i just find humour/interest in many things that most people don't even notice. i'm quirky...but endearingly so (or so people say). i spend a lot of time looking for new (to me, anyway) music to add to my collection, looking for interesting events/activities/hobbies to try out around the city and revising mental maps of where i'd like to end up eventually. i love hunting for just the right vintage pieces. naturally, i'm an etsy whore, and can be found perusing vintage furniture stores, especially the alameda county antique fairs. my most recent vintage purchase was a gorgeous grundig majestic record console, i do believe it's my favourite piece of furniture i own now.  i like trying out cozy new places to eat, and new recipes, but i'm not by any stretch of the mind a 'foodie'. i frequent wine bars and coffee shops, bay area staples. i _love_ the beach...i totally appreciate being relatively close to the beach, after having lived in ny, where the beach was neither close to the city nor worthwhile. i like finding fun new ways of being active, like finding new trails to jog, paths to bike or walls to climb. going on spontaneous adventures is one of my favourite things to do, and a fun way to get to know people. i love all things creative, so art walks, gallery openings, live performances, museums, activities that involve creating art, are all places that i tend to gravitate towards...and i'm always looking for more people to that are also into these kinds of events.  i'm into technology, particularly mobile, which is the industry i work in. it's a long story as to how i got here, but it's where i want to be and i actually don't hate my job. i tweet and facebook. and read tech blogs like engadget and gigaom to keep up with the current goings on with the latest gadgets. but, i also read magazines like juxtapoz, big up, etc. because i love them and for the way it offsets the techier stuff in my line up.  when it comes to friends, i'm super loyal and i think respect is important. bad communication in any relationship, friendship or otherwise is the kiss of death in my opinion, and a personal pet peeve of mine. i like to be as up front as possible in most situations...even if that's not what the person wants to hear.  eventually, i'd love to settle down with someone who i really enjoy, respect, and feel a strong connection with. ideally, i'd like for that person to be pretty different from me, into their own scene, but still have some interests overlap with mine. i don't really like to rush into dating, but when i find someone i like, i tend to want to spend time, and get to know them. i'm a cuddler. and a hand holder. and a just because-er. and likely, a professional grade spooner. although dating-wise, this past year has been very mismatched for me, as it seems that i haven't been into the people that have been into me, and vice versa. hopefully eventually, a mutual dig will occur...i wouldn't settle for anything less.  things i <3. traveling, learning languages, hand-knit goods, mixed tapes, diptyque candles, architecture, good investments, creativity, ink, intelligent speculation, kindred souls, scorpios, animal rescue and rehabilitation, paths less traveled, documentaries, acoustic guitars, the beach, thunderstorms, cozy coffee shops, positivity, underdogs, survivors, deviation from the norm, any type of gadgetry esp mobile technology, boxee, twitter, etsy!, trader joes, interactive media, innovation, imported cars, ancient civilizations, good teachers  i am optimistic, quirky, and fun-loving
being in the moment as much as possible...taking my time to really internalize this, and all these amazing moments.  iteratively refining my life goals. i've found that life is a process, and i'm definitely still working towards lots of things.
coming up with really good ideas listening tripping over stuff singing anything, anywhere spooning
that they can't figure out what my ethnic background is. everyone thinks im filipina lately!
this is a long list...my musical taste is pretty eclectic, lots of different types of indie from rock to ambient...i really try to stay away from getting stuck in any one genre, but as it stands now, my collection looks a bit like this: dubstep/uk electro-infused. mount kimbie, deadboy, four tet, pariah, vvv, skream, scuba, george fitzgerald, jacques greene, little dragon, cocteau twins, washed out, beach house, warpaint, mumford & sons, tegan & sara, the cure, radiohead, atoms for peace (thom yorke's superband), bon iver, fink, noah and the whale, joanna newsom, beirut, do make say think, explosions in the sky, the radio dept, galaxie 500, yeah yeah yeahs, peter bjorn and john, vampire weekend, ok go, al green, sam cooke, otis redding, new edition, a tribe called quest, gangstarr, pharcyde, de la soul, the roots, miles davis, etc - it probably would've been easier just to list the link to my last.fm account: http://goo.gl/uot0e  ok, vietnamese gets the award for being most frequented in 2010, but also eat japanese, mediterranean, italian, indian, ethiopian, american, korean often. i like well implemented fusion (ie not just slapping 2 generes of food on the same plate and calling it fusion). i'm always down to try something new, in fact i generally prefer it. ;)
friendship smartphone music the interwebz espresso perspective
this changes on a daily basis. some days it's deep existential topics. others it's how to get my bangs to lay right. today's topic: knitting, i'd really like to learn. i have quite the soft spot for hand-knit items. anyhow, whatever it is that i ponder on, there's usually a fair amount of introspection involved.
i'm typically pretty beat by friday nights, so i tend to do something really chill at home, while i decompress. sometimes i'll grab drinks, dinner or check out a gallery opening with friends. saturdays are typically my going out nights.
when i work out i listen to lady gaga. heh.
you would like to get to know more about me."
86,"welcome to my profile, your search is now over.  i love mountain biking, sketching in nature, urban hikes, camping, climbing, yoga classes, getting really hungry and then eating, cyclocross, bike touring and spending time with friends doing those things (some of those things are not nearly as fun to do alone)
what am i doing with my life? designing software, going to yoga a lot, riding bikes with friends, learning to cook new things, and planning some tropical travel with a bike ...maybe a surfboard.
being corny. perseverance.
i'm laughing at my own joke (or yours).
reading: the onion, mcsweeney's.net cracks me up pretty regularly, unaccustomed earth, hunger games, yoga journal, bike magazine, alan o'bannons guide to backpacking, ...  music: iron and wine, band of horses, mgmt, the sounds, little dragon, the new pornographers, beach house, feist, nouvelle vauge, sean hayes, the rapture, the music they play in yoga classes, bon iver, gayngs, otis redding, chris isaak, dick dale, ..., ..., ...., and i'm a sucker for cover songs (i was at an iron & wine concert, they covered wild horses and i kinda melted.)  movies: the princess bride, run lola run, the departed, best in show, ... room with a view---yep, i'm a chick. i also enjoyed watching jack ass, watched it with my friend and it was hillarious, but then i saw some of it by myself and i hated it (just goes to show that who you're with changes everything).  tv: i don't have a tv or cable, but occasionally i'll get hooked on a tv show via netflix like friday night lights downton abbey the muppets made a big impression on me as a kid, i love those guys in the balcony, i love animal!!!, but my favorite is the swedish chef --> smrg di brg!!! i think i would watch more sports if i had a tv. i would probably watch a lot of pbs and probably rot my brain with reality tv (i'm glad i can't)
i have these luxuries and i really appreciate them:  - my city bike --- it's so liberating to be able to get anywhere in san francisco on my bike in less time than muni could get me there and for free ... and it keeps me fit and energized to ride everywhere i go.  - pencil paper and watercolors --- i can draw anything i set my mind to.  - bike racing --- this has become a corner stone of my social life and i love it.  - the vast expanse of wild places around the bay area to hike and mountain bike (we are so lucky!). the only bad thing about these is if you sit home on a weekend you really have to feel guilty for not going someplace amazing.  - earthworms---we can't live without them.  - i'm also pretty happy about hot springs  and flowers, especially wildflowers  (i'm going to add to this)  my mountain bike hydration love
activities, planning mountain bike rides.  food---i like to eat well, i enjoy cooking healthy food and i appreciate artfully prepared food very much.  travel  work (i get absorbed in work in a good way)  adopting a greyhound ..even though i enjoy not having the responsibility right now.  art and things i want to paint
packing for an adventure, out with friends or having friends over for a feast.
(this space intentionally left blank)
you want to.  ideally: * you're compassionate and empathetic * you enjoy staying fit * you love children (as in, you don't dislike them) * you think funny sarcasm is funny * you're good with money (as in, not bad with it) * if you were my friend, you would set yourself up with me."
91,"i just moved to the north bay after living in la and the oc for 3 years. i went to college in west virginia and grew up on the east coast. i'm probably the only person you'll ever meet from delaware. i miss having a dog.  i am impulsive, resourceful, and overly optimistic
i'm currently working on an animated motion picture for disney.
math... does that count? i'm good at guitar, i'm even better at soccer. i'm also really good at assigning nicknames that tend to stick. i have incredible skill/luck when it comes to bowling and i'm terrible at guitar hero.
i'm rarely serious, unless it's seriously funny...
books: i hope they serve beer in hell, death by black hole movies: dumb and dumber, zoolander, beautiful girls music: weezer(pinkerton era), oldies, copeland to name a few. food: pretty much anything, especially seafood.
dogs bonfires guitars family & friends wool rain
if i was an awesome, beautiful girl, where would i be?
friday is probably the least typical day for me. so far this month: salsa dancing in san francisco building a shelf, from scratch. at the movies in san rafael.
i once had a secret desire to be a magician.
you've managed to read this far..."
93,"i'm still new to sf, moved here from chicago last august. i was born in the philippines and first moved to the us when i was almost 3.  i've lead a pretty remarkable life, i've earned a lot of awesome opportunities that i've taken advantage of. moving around the country since my family moved to the us helped me learn to seek out opportunities and taught me to be able to put myself out there.  i like to go to the park and just read. i love to travel! i'm an outdoors person; i like bouldering, being in the water (not the frigid ocean though), snowboarding, soccer, hiking, bike riding and just touring the city.
i'm exploring the world, making sure it's still round.  check out some of my stories hansomejake.tumblr.com  i'm currently earning another degree and living life as it comes. i'm exploring the city and am always trying to learn more.  i'm looking for an opportunity to stand up against domestic violence. in the past i've always done the walk a mile in her shoes. now i'm in sf...i'd like to find a new one.
cooking, making my own recipes. (vegetarian mexican pumpkin enchiladas, pasta salad, sweet potato lentil loaf; just to name a few) being awesome at making people laugh traveling. climbing trees or rocks. directions (one of my nicknames: jakeps) i'm a great conversationalist, i know a lot about a lot of things...which also helps out for trivia nights.
the bright blue eyes and the dimples
books! abraham lincoln vampire hunter, david cross i drink for a reason, a thousand splendid suns, hunger games, freakonomics, soccernomics, alchemist, all quiet on the western front, animal farm, playing for pizza and eating animals.  movies...i don't trust anyone who hasn't seen the big lebowski.  shows, not really a tv guy but i'll zonk out from time to time. i love wait wait and this american life. ira glass and carl kassel are two of my heroes. one day carl will be the voice on my answering machine.  music- i'm more of an all around music fan. the smiths, mumford, vampire, selah sue, papa, xx, paperboy, discovery, april smith, kyteman, alamo racetrack, teddybears, george clinton, atmosphere, sublime, bob...so much more!  food!!! eff yeah i love food; indian, italian, mexican, thai, vietnamese, you name it! i keep a mostly vegetarian diet with the occasional mission burrito. i'm a connoisseur of sf burritos.
my passport humor scrumptious food adventures friendship sunshine
possibilities; what adventure awaits me on the horizon...
out on the town either bar hopping, checking out a show or doing something johnnyfuncheap suggested. perhaps attending a couchsurfing event.
there are a large percentage of women that i match up with on here higher than 90%.
you like scavenger hunts you don't list your iphone as something you can't live without. you have a dog!"
94,"my names josh, and i create art for a living. i work as a conceptual artist at a north beach studio. in my spare time i like to play music, adventure around the city, check out music, or just hang out @ home. i prefer meeting people in real life, but i'm not opposed to meeting new friends from the internets..  hit me up if you'd like to know more about me :)
living it
everything
i honestly couldn't say....
-books: anything joseph campbell - osho - terry brooks - ancient greek mythology/philosophy- ""the tao of physics""(currently) - c.bukowski, foucault, and other post modernists - william s. burroughs - the futurist manifesto ( no seriously - i read it every now and then) much more.....  tv: kill your tv  music: - 90's techno - darkwave - metal - bluegrass - punk rock - ambient - rock n roll - dubstep/glitchstep - classic alternative  pretty much everything....  food: things that don't make me vomit ;) or that are not poisonous
invalid question
the world
out.
no
you're curious."
96,"you like horses. i am a horses. understanding have i that ladies love horses. always up for some ""horse-ing"" around.  please do not sing '""hey soul sister"" to me. i like hay. i get it.  when you sing ""hey soul sister"" you are pulling a ""train"" on me. i do not want to have a ""train"" pulled on me.  i am not witty.  i may travel. here is a(n) list of just some of the places i've visi(t)ed in the last 5 years.  big sur, death valley, guilin, guyana, hollister, hong kong, horse heaven hills, iceland, king's canyon, las vegas, lassen, macau, mexico city, mono lake, oaxaca, nova scotia, red mountain, sequoia, trinidad, yosemite, your mom's house  am i dead pan. questing mark.  i'm not indecisive i am indincisive.
wine. food. cats. travel. art. living the dream!  i recently moved to sf from a town called millhaven, it was small, mean, and cold.  i'm working on my masters in sommeliering. ms if you will.
going on brannigans.  entertaining myself. falling down. telling jokes. cooking. diplomacy. conversating on a wide variety of subjects. scrabble. wandering. wearing short pants (i don't know why i put this in here, i am not at all good at wearing short pants)  being the man of tomorrow: here; today!  interrupting... i said interrupting... interrupting jokes.  being a robot.
people don't really notice me. i always blend into the background. when they do notice me, they say ""wow, i didn't notice you there!"". so, i guess the first thing people notice about me is that they don't notice me.  wrap your head around that one.
my favorite book of all time is ""frog eats toad's poisonous unborn children, gets sick and dies (but frog's younger cousin thrives!). other than that, i read a lot of non-fiction, most of it alcohol related.  i'm a fan of modernism, in writing and visual arts.  here is a random sampling of some artists that i enjoy.  larionov, biddle, roth, shaw, corman, housman, ibsen, woronov, de palma, tuttle, still, hoeydonck, twombly, thiebaud, bechtle, gordon, norb, cronenberg, carpenter.  i like going out to see live shows (music, plays, opera, etc) but don't get out as much as i'd like.  i really enjoy 70's trash cinema. the apple, phantom of paradise, the warriors. i recently saw the muppets and shame and enjoyed them both (though they were both a touch heavy handed in different ways).  music? here are some bands i've listened to during a week last year or something like that. action bronson, black bananas, the cars, the chap, cloud nothings, future of the left, modeselektor, trust, the 2 bears, destroyer, lone, pelle carlberg, gino soccio, killdozer, cows, merle haggard, azoto, mr. motherfuckin' exquire, man... or astroman?, major lazer, nick cave, jens lekman, descendants, war on drugs, den haan...  did i mention gino soccio? because he's awesome, and you have probably never heard of him.  just kidding.the only artists i ever listen to are taylor swift, that one band that gweneth paltrow's husband is in, and rudimentary peni....  seriously. the best song ever is sex rash  i like all food. cooking and eating it. i go out to eat a lot. i tend to get a lot of free food and drink when i go to restaurants. it's a hazard of the industry i'm in. i'm obsessed with beverages of all kinds. i could spend a lot of time talking about water, or wine, or liquor, or tea, or (fill in the blank)
chonps! carbon, hydrogen, oxygen, nitrogen, phosphorus, sulfur.  ha, nerd joke.  counoise comt helfensteiner halloumi kzgz ossau-iraty nebbiolo neufchtel peloursin pepato schioppettino scamorza
rumphius pummelos. how did cat hair get on that. nematodes. how i can get my art onto the moon. why i get dirty looks when i ask people if i can taste their counoise.  why people don't think i'm serious.  when it's appropriate to us 'are not' instead of 'aren't'.  how aren't sounds really weird when you say it 10 times in a row.
definitely, probably, working; maybe reading.  loading up celery man, and getting into tain.  sex(t)ing up your mom.
on sutter st, somewhere between market st and union square, my social security number is carved into the sidewalk. i thought it was funny when i did it, and still think it's funny....  so you can totally find out my social security number if you want to.  also,  i don't mind you coming here and wasting all my time.
if you think [fill in later] is awesome.  you are super uncool cool.  you are super cool uncool.  if you take yourself really really really seriously.  people weren't paying attention to the above sentence so i added an extra really.  a soul crushingly boring time a-peals to you.  banana.  that was a joke.  why aren't (are not) you laughing?"
97,"me in a nutshell: i'm an easy going and down to earth kind of guy who appreciates life and all the great things it has to offer. (after all, isn't the purpose of life to make lasting memories??) i work hard and play hard. i have a soft spot for the outdoors (am an avid hiker, camper, ""beach relaxer"") but am always open to trying new things with friends and soon-to-be friends.
working like there's no tomorrow, but having fun like there's no today. i try and live life to the fullest every moment i am aware. (if life is something we experience but just once, why not have a good time?)
listening to others, supporting, having a good time!
friendliness, optimism, and spontaneity
movies: god father i and ii, shawshank redemption, sleepless in seattle, etc..  music: disco pop to hard rock; i like it all!
1. (leave blank) (<- this could be you!) 2. family/friends 3. love 4. laughter 5. memories 6. money
what life must be like in the parts of the world that i haven't touched (yet)!
enjoying good company. dining out or just plain ole' good hangin' out!
sorry, i am a bit shy. (what's with this question?? lol)
...you read this far in my profile and it seems like it has the potential of changing your life (b/c it does)!"
98,"one day i will mod r/hotchickswithspreadsheets.  i <3 data and jokes about fart jokes. my hobbies include wikipedia and chortling. i write raps that no one will hear. i do not have a booty like minaj.
presently, holyshitwhatamidoinghere and the spacetime continuum. professionally, i count shoes.
algebra, alliteration, big spoon and little spoon.
i look a lot like that chick you banged your freshman year in college. i am a honda civic.
- wikipedia - yes - yes - yes - yes
civility, hope, basic arithmetic, any of the vital organs, toilet paper, giggling.
macros. also, puppies. i worry about the future, our responsibility, and will embrace singularity when it happens. i get bogged down in details. bagels.
home, high, and doing the dishes.
i'm terrible at small talk which makes for awkward everything. high five!
you find challenge rewarding."
101,"from san diego to the bay six years ago. gave up the sun, the beach, and the mexican food for the fog, the cold beach, and burritos with rice and beans wrapped in foil (which i am still getting used to.....okay, farolito is pretty damn good). i still have that hakuna matata mentality - i never sweat the small stuff......brah.  i'm not a very serious person (unless i need to be). i joke and laugh a lot, and people think i'm always happy-go-lucky. in reality, i'm extremely depressed, on six types of mental medication, and i have a service animal for companionship. just kidding. see, i told you.  i would like to think of myself as an extremely patient and calm person. i find a sense of accomplishment in being able to balance those who aren't.  i don't believe in the art of profile-making, and i think meeting someone in person is the only way to go. we're not all salespeople, and i'm glad.
going with the flow. always trying to find the next best thing.
imitating accents. not using the word ""like"", after like every like word. making peoplemyself laugh.
is that they didn't notice me. i'm a ninja.
sadly, to be perfectly honest, i don't remember the last time i read a book cover to cover. if someone can get me started, that would be an amazing accomplishment for both them and me. i have never been told, ""wow, you don't read. do you?"", so i guess that doesn't make me too different......right?  i love will ferrell movies. my ultimate favorite is step brothers. you're probably waiting for me to insert a step brothers quote here, but i am not one who is known to easily quote lines off the top of my head, and i deeply admire those who can. it's probably because i don't read books. i am a true sucker for chick flicks. i usually only watch movies once, then forget about them. like, remember this scene when....nope. movies of epic proportion deserve my attention multiple times, and step brothers is epic.  on the tube: summer heights high, angry boys, dexter, homeland, workaholics  music: anything, really. a lot of miike snow, bombay bicycle club, the whitest boy alive, empire of the sun, and 106.1 kmel stuff are in my ears these days.  i love food. any kind. i am probably the least picky person when it comes to food. although, if you're holding a gun to my head, i would list my favorites in this order: mexican food.
5 cliche things, and my road bicycle.
what does life have in store for me?
going to bed early, for work on saturday, which is my friday. if it said ""on a typical saturday night i am"", i would respond, ""going to bed early."" i don't go out too much, but if i do, it's to eat out, maybe have a few drinks, or karaoke bar hop. i used to love going out to the clubs and lounges - and don't get me wrong, i can still cut up a rug on the dancefloor, if dancefloors had rugs, and the occasion arose - but, at this point, i would be more interested in being in bed, watching a movie, or just looking at the inside of my eyelids.
i snore. like a velociraptor. but only on my back! i think.
you'd like."
102,"i'm on a temporary hiatus from trying to define myself, particularly in concise blurbs. however, i'm finding this reluctance to summarize just might be adversely affecting my socio-economic success levels.  if you found the blurb above to be a) wordy, b) confusing, or c) wholly devoid of humor and irony, then you'll most likely find me annoying.
for a living? teaching cpr, first aid, and assorted safety courses. not a bad gig to have while plotting my creatively-fueled world-takeover.  on a deeper level? shifting paradigms, actively-not-writing, resolving conflict(s), and falling without getting hurt.  physically? staying fit... actually, forget 'fit'. i'm going for optimal health, with all the fun stuff too (like doing a yoga class, then going for a chili dog and beer). i will never be not-fit again. ever.  other things? looking out for my crazy family, building vintage german cars, practicing aikido, being the change, fearing change, facing the change, creating change, sparing change.
being unequivocal... sometimes.  public speaking.  doing some crazy-ass martial-arts shit to a fool! (if said fool were to attack me in a very specific way, at half speed).  going down on you.
that my green eyes are red.
when it comes to fiction, i like to read what i (currently don't) write; culturally-subversive sci-fi and conflicted-hero thrillers... any early orson scott card novels (ender's game, speaker, worthing saga) are awesome, as well as anything by lee child or michael connelly or stephen hunter. for non-fiction, the titles that are jumping into my memory are ""don't think of an elephant"" and pretty much anything by malcolm gladwell (i included him so you'll know i'm smart and well-read)  movies? the first bourne, the first matrix, and the first two star wars. shawshank, amelie, three kings, boogie nights, and the fresh re-boots of bond and batman. not a whole hell of a lot recently. and by recently, i mean the last 10 years. super 8 was pretty cute. melancholia!! not the most fun movie experience, but that movie still has me pondering weighty issues like astronomy, human psychology, and kirsten dunst's --ahem-- nevermind, just see it.  music... lots. but metal and country make me want to die.
someday, i'll be a monk on a hill and all i'll need is ommmm. but not yet.... here's what i'd currently feel most deprived without:  language. aikido. hot water. chiropractic care. women with fantastic posture and exceptional glandular health. outstanding cannabis.
human behavior. my goals. why i'm not further along with my goals. why i beat myself up for not being further along with my goals. why humans are so hard on themselves and others.  rinse, repeat.  oh, and women with fantastic posture and exceptional glandular health.
falling on my ass a hundred times (that means training aikido), then salving my bruises with an ancient japanese remedy (that means sapporo with the sushi, large please).  or..... basking in the blinding glow of my own white-hot potential (that means smoking weed and surfing the webbernets)  or..... chatting with some random folks i just met. (that actually just means exactly what it means).
how about some dealbreakers right up front...  i'm 41, and back livin with the parents. awesomesauce!! (actually, it's a pretty sweet little cottage on a creek behind their adorable house, and they're an eccentric little hippy couple that vaguely resembles the witch/warlock couple from princess bride.... ""have fun stormin the castle!!"". so it's nice, but yeah--i'm there because i currently lack, ahem, ""earning potential"".  also, for those who haven't been reading carefully, i smoke cannabis. weed, ganja, medicinal marrryjooowanna. i smoke it daily, i have friends who grow it, and i'm a social & political advocate of it. so, any woman desiring extended contact with me (like anything past a quickie) would probably want to be okay with the 4&20.  oh, and.... i'm actually 5' 8 and 3/4"", not 5' 9"", but okcupid doesn't split hairs.
you like my words. you like my face. you'd like to see and hear more.  you'd like to meet for a chat to see if we like each other's voices, attitudes, physiques, pheromones, and philosophies...  you don't mind dating (or sleeping with, or simply making out with) a guy who is doing all of the above with other women.  did i mention the posture and glandular health? (ba-dump bump!)"
